№,Наименование организации,,ИНН,Юридический адрес,Ф.И.О. руководителя,Контакты,Основной вид деятельности (ОКЕД),код ОКЕД,№ лицензии,Дата выдачи лицензии,срок действии лицензии,Вид лицензируемой деятельности,№ лицензионного соглашения,Дата лицензионного соглашения,Наименование лицензируемых работ,Причина переоформления или отзыва  лицензии,Форма собственности,Область,Район,Населенный пункт
№,Ташкилот номи,Ташкилотнинг ташкилий-хукукий шакли,СТИР,Юридик манзил,Рахбар исми-шарифи,Алока (богланиш) маълумотлари,Асосий фаолият тури (ИФУТ),ИФУТ коди,лицензия раками,лицензия берилган сана,лицензия нинг амал килиш муддати,Лицензия буйича фаолият тури,Лицензия келишув шартномаси раками,Лицензия келишув шартномаси санаси,Лицензияланган ишлар тури,Лицензияни кайта руйхатга олиш ёки чакириб олиш сабаби,мулкчилик шакли,Вилоят,Туман,Ахоли пункти
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,Namanganarhitektqurilishloyiha,МЧЖ,203179569,160133. Наманган вилоят Наманган шахар Н.Номонгоний.18,Жуматаев Дилшодбек,226-22-82 226-48-84 226-22-82 ф 271-14-82,,,,,,,,,,,,Наманган,,Наманган шахар
2,ME’MOR M.X.VAXIDOV SHAXSIY IJODIY USTAXONAS,ХФ,200826019,"100011. Тошкент шахар Навоий, 16а",Вахидов Мухаммат, 111-27-82 241-58-30 246-76-27,,,,,,,,,,,,,,Тошкент шахар
3,ARX UNIVERSAL PROEKT,МЧЖ,206933973,"100129. Тошкент шахар Навоий,30",Иванченко Т.Ш,244-37-86 383-49-93,,,,,,,,,,,,,,Тошкент шахар
4,Фарғонафуқаролойиҳа,МЧЖ,200150932,"150109. Фарғона вилоят Фарғона шаҳри, Фарғона.82",Рахматилаев Алишер,222-10-24 222-28-06 ф 271-79-21 575-79-21,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
5,TOSHLOYIHA,МЧЖ,200898429,"100011.Тошкент шаҳар Навоий, 16",Бирюков Александр Павлович, 244-24-06 244-66-10 241-79-34 176-34-59,,,,,,,,,,,,,,Тошкент шаҳар
6,Курилиш молия сервис,ХК,206935994,"150900. Фарғона вилоят Қувасой шаҳар У.Носир,14",Ташбалтаев Кахрамон,276-60-34,,,,,,,,,,,,Фарғона,,Қувасой шаҳар
7,Газлойиха институти,МЧЖ,200126944,"150700. Фарғона вилоят Қоқон шаҳар А.Мамаюсупов, 10",Умаров Абдурашид, 556-51-17669 552-27-60 552-46-04,,,,,,,,,,,,Фарғона,,Қоқон шаҳар
8,ФАЗО,ХК,200905204,"220100. Хоразм вилоят Урганч шаҳар Пахлавон Махмуд,10",Адамов Ибрагим,226-83-15,,,,,,,,,,,,Хоразм,,Урганч шаҳар
9,SUNIL-RAKURS,МЧЖ,206168595,"100007. Тошкент шаҳар Паркент,9",Кушназаров Зомон,168-67-77,,,,,,,,,,,,,,Тошкент шаҳар
10,Кашкадарё комплекс лойиха кидирув экспедицияси,ЖК,200670974,"180119. Қашқадарё вилоят Қарши шаҳар Хонобод,23",Алимов Диёр,224-02-32 525-18-34,,,,,,,,,,,,Қашқадарё,,Қарши шаҳар
11,АСЛ ЛОЙИХА,МЧЖ,204042121,"130100. Жиззах вилоят Жиззах шаҳри Ш.Рашидов,63",Сулейманова Малика, 226-08-34 325-55-20,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
12,DESIGN EXCLUSIVE,МЧЖ,206972087,"100025. Тошкент шаҳар А.Қаххор,46 М.Қаххор,46",Ламанов Андрей, 281-44-86 157-83-66,,,,,,,,,,,,,,Тошкент шаҳар
13,ФАРҒОНА РАХМАТЖОН ТОПОГРАФ,ХК,300678571,"150100. Фарғона вилоят Фарғона шаҳар Ал-Фарғоний,64",Исақов Рахимжон,776-48-68,,,,,,,,,,,,Фарғона,,Фарғона шаҳар
14,SUN LINE GROUP,МЧЖ,206780334,"100011.Тошкент шаҳар Б.Зокиров,19",Старкова О.А., 150-25-36 403-20-52,,,,,,,,,,,,,,Тошкент шаҳар
15,АЗИЗА-ЛОЙИХА,МЧЖ,204904155,"130100. Жиззах вилоят Жиззах шахри Ш.Рашидов,63",Юлдашева Гулнора, 226-24-32 362-50-60,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
16,Тиблойиха,МЧЖ,200671514,"180119.  Қашқадарё вилоят Қарши шаҳар Хонобод,28 Микрорайон Пахтазор, 19/1 уй ",Журакулов Жалил Тошпулатович, 224-08-95 +99890 720-84-40,,,,,,,,,,,,Қашқадарё,, Қарши шаҳар
17,САМАРКАНД ЙУЛ-ЛОЙИХАЛАШ,МЧЖ,201329144,"140103. Самарқанд вилоят Самарқанд шаҳри Нарпай,32","Зокиров Собиржон, Пирманкулов Шухрат", 234-16-48 215-30-97  66-261-65-46,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳри
18,QARSHI KONSTRUKTSIYA DIZAYN,МЧЖ,206950921,"180119. Қашқадарё вилоят Қарши шаҳар Хонобод,1",Яркулов Тошмурод, 206-92-64 +99891 219-52-19 224-04-46,,,,,,,,,,,,Қашқадарё,, Қарши шаҳар
19,GAZLOYIHA,МЧЖ,200670720,"180112. Қашқадарё вилоят Қарши шаҳар А.Темур,36а",Арипов Салим, 225-07-74 202-00-01,,,,,,,,,,,,Қашқадарё,, Қарши шаҳар
20,Чустархпроект,МЧЖ,200111734,"161100. Наманган вилояти Чуст шаҳри Фаёзов, 11",Неделько Олга, 42-34-245 69-562-72-09,,,,,,,,,,,,Наманган,,Чуст шаҳар
21,Таъмирлойиха,МЧЖ,200670673,"120112. Қашқадарё вилоят Карши шаҳар А.Темур,74",Хайдовалов Уроқ, 225-30-82 207-30-82,,,,,,,,,,,,Қашқадарё,, Қарши шаҳар
22,O’zgazloyiha,МЧЖ,200344935,"130100. Жиззах вилоят Жиззах шаҳри Горная,10",Мирзаев Омон, 2-40-60 227-32-23,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
23,ARXDIZAYNLOYIHA,МЧЖ,200055424,160133. Наманган вилоят Наманган шахар Н.Номонгоний.18,Қодиров Ахмаджон, 226-15-61 771-12-33,,,,,,,,,,,,Наманган,,Наманган шахар
24,МАШЪАЛ,КК,200181585,"151300. Фарғона вилоят Риштон тумани Дахбед, 7",Сулаймонов Азимжон, 45-23-607 563-58-30,,,,,,,,,,,,Фарғона,Риштон,Дахбед
25,Лойиха-мухандиси хусусий куп тармокли илмий ижодий техник маркази,,204615088,"130109. Жиззах вилоят Жиззах шаҳри Кўтарма махалласи Халқлар дўстлиги,10",Адилов Фахриддин,327-97-72,,,,,,,,,,,,Жиззах,,Жиззах шаҳар
26,УрДУ қошидаги УРГАНЧ МАЪМУН КУРИЛИШ ТАЪМИРЛАШ корхонаси,,300460378,"220100. Хоразм вилоят Урганч шаҳар Гурлан,2а",Собиров Муродбек, 229-31-85 517-06-57,,,,,,,,,,,,Хоразм,,Урганч шаҳар
27,FIKR-LOYIHA,МЧЖ,204838768,"100126. Тошкент шаҳар Турсунқулова,22",Суяркулова Саодат, 448-96-78 315-57-67,,,,,,,,,,,,,,Тошкент шаҳар
28,ЛОЙИҲА ҚУРИЛИШ ЛЮКС,ХК,206958482,220500. Хоразм вилоят Урганч тумани Чаккашоликор қишлоғи,Ибрагимов Хушнуд, +99893 922-12-10 0362 228-82-10 и ф.,,,,,,,,,,,,Хоразм,Урганч,Чаккашоликор қишлоғи
29,MIRAGEMEBEL,МЧЖ,204148265,"100073.Тошкент шаҳри Фарғона йўли, Оқдарё,3",Йалабачоглу Байрам, 192-93-30 195-03-71 ф 310-15-90,,,,,,,,,,,,,,Тошкент шаҳар
30,NINA STROY SERVIS,МЧЖ,300480844,"141100. Самарқанд вилоят Самарканд шаҳар М.Улуғбек,35",Сайфулова Нина, 233-25-94 929-44-44,,,,,,,,,,,,Самарқанд,,Самарканд шаҳар
31,TEXNOLOG-DIZAYNER,МЧЖ,205833236,"100000.Тошкент шаҳар Асака,52",Рындин Анатолий, 268-55-37 268-53-48 901-06-85,,,,,,,,,,,,,,Тошкент шаҳар
32,MUHANDISLIKTARMOQLARI,МЧЖ,201079314,"100000. Тошкент шаҳри Фурқат,1а",Сергеев Сергей Андреевич, 140-03-79 188-38-66,,,,,,,,,,,,,,Тошкент шаҳар
33,VARIA,МЧЖ,201674983,"100011.Тошкент шаҳар Навоий,7",Реджепов Ю, 239-48-54 104-90-77,,,,,,,,,,,,,,Тошкент шаҳар
34,ККгорсельпроект,МЧЖ,200949545,"230100. Қорақолпағистон Республикаси Нукус шаҳри Шамуратова,86",Айтбаев Амангелди, 222-94-61 222-94-60 ф +99893 920-94-61,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
35,Здоровье М,МЧЖ,200892753,"100011.Тошкент шаҳри Навоий,12",Уфинцова Инга, 241-86-15 515-66-04,,,,,,,,,,,,,,Тошкент шаҳар
36,SDS PROEKT,МЧЖ,205969779,"100042..Тошкент шаҳри С.Айний,1",Умаров Атхамжон, 244-55-02 343-00-15,,,,,,,,,,,,,,Тошкент шаҳар
37,MUHANDISLIKTARMOQLARI-LOYIHA,МЧЖ,205885931,"100000. Тошкент шаҳри Фурқат,1",Ефимова Л.А., 140-03-79 108-67-94,,,,,,,,,,,,,,Тошкент шаҳар
38,МАСТЕР АРХ СА,МЧЖ,204721424,"230100. Қорақолпағистон Республикаси Нукус шаҳри Шамуратова,86",Абдуллаев Тангриберди, 222-88-70 351-88-70,,,,,,,,,,,,Қорақолпағистон Республикаси,,Нукус шаҳар
39,STEN,МЧЖ,204377306,"100128. Тошкент шаҳри У.Юсупов,4",Таджиев Собиржон, 244-86-80 244-86-79 156-65-85,,,,,,,,,,,,,,Тошкент шаҳар
40,ARXITEKTOR FAYZULLAEVNING SHAXSIY IJODIY USTAHONASI,МЧЖ,201924354,100179. Тошкент шаҳар Мавзе Олимпия 12-33,Файзуллаев Ойбек, 239-35-48 119-60-17 229-60-17,,,,,,,,,,,,,,Тошкент шаҳар
41,STALDOM MODUL,МЧЖ,301012030,"100011.Тошкент шаҳри Навоий, 7 Тошкент шаҳри Хамза тумани, Жарқўрғон,22","Мингазидинов Наил, Фаденев Сергей Алексеевич", 296-82-70 ,,,,,,,,,,,,,Яшнобод,Тошкент шаҳар
42,ME’MOR S.M.SUTYAGIN SHAXSIY IJODIY USTAXONASI,ХК,200826097,"100001.Тошкент шаҳри Пушкин,7",Сутягин Серго, 241-09-84 181-16-00,,,,,,,,,,,,,,Тошкент шаҳар
